Area of Visit,Nationality,Percentage
Miyagi,India,0.2821
Miyagi,UK,1.8516
Miyagi,Germany,1.7846
Miyagi,France,1.3972
Miyagi,Italy,0.5027
Miyagi,Spain,0.9884
Miyagi,Russia,0
Miyagi,United States,0.8202
Miyagi,Canada,0.6314
Miyagi,Australia,1.4277
Miyagi,Other,1.0967
Akita,Total,0.3269
Akita,South Korea,0.0476
Akita,Taiwan,0.9529
Akita,Hong Kong,0.4063
Akita,China,0.2128
Akita,Thailand,0.1438
Akita,Singapore,0.0294
Akita,Malaysia,0.2153
Akita,Indonesia,0.2864
Akita,Philippines,0.0368
Akita,Vietnam,0
Akita,India,0
Akita,UK,0.3276
Akita,Germany,0.677
Akita,France,0.5247
Akita,Italy,0
Akita,Spain,0
Akita,Russia,0
Akita,United States,0.1939
Akita,Canada,0.5006
Akita,Australia,0.633
Akita,Other,0.1863
Yamagata,Total,0.5651
Yamagata,South Korea,0.0486
Yamagata,Taiwan,2.2342
Yamagata,Hong Kong,0.4638
Yamagata,China,0.0701
Yamagata,Thailand,0.3272
Yamagata,Singapore,0.1957
Yamagata,Malaysia,1.2993
Yamagata,Indonesia,0.0955
Yamagata,Philippines,0.0659
Yamagata,Vietnam,0.0717
Yamagata,India,0
Yamagata,UK,0.415
Yamagata,Germany,0.8657
Yamagata,France,0.7917
Yamagata,Italy,0.2339
Yamagata,Spain,0.1522
Yamagata,Russia,0
Yamagata,United States,0.2156
Yamagata,Canada,0.0644
Yamagata,Australia,0.4534
Yamagata,Other,0.2981
Fukushima,Total,0.3705
Fukushima,South Korea,0.0104
Fukushima,Taiwan,1.1864
Fukushima,Hong Kong,0.3371
Fukushima,China,0.0471
Fukushima,Thailand,0.3617
Fukushima,Singapore,0.2385
Fukushima,Malaysia,0.3919
Fukushima,Indonesia,0.014
Fukushima,Philippines,0.1127
Fukushima,Vietnam,0.1352
Fukushima,India,0.5307
Fukushima,UK,0.3908
Fukushima,Germany,0.5059
Fukushima,France,0.4511
Fukushima,Italy,0.1179
Fukushima,Spain,0.5743
Fukushima,Russia,0.5893
Fukushima,United States,0.3159
Fukushima,Canada,0.0644
Fukushima,Australia,0.7063
Fukushima,Other,0.6503
Ibaraki,Total,0.323
Ibaraki,South Korea,0.0854
Ibaraki,Taiwan,0.6815
Ibaraki,Hong Kong,0.4805
Ibaraki,China,0.1604
Ibaraki,Thailand,0.3523
Ibaraki,Singapore,0.4064
Ibaraki,Malaysia,0.643
Ibaraki,Indonesia,0.7491
Ibaraki,Philippines,0.7039
Ibaraki,Vietnam,0
Ibaraki,India,0.275
Ibaraki,UK,0.3903
Ibaraki,Germany,0.2053
Ibaraki,France,0.2517
Ibaraki,Italy,0.4678
Ibaraki,Spain,0
Ibaraki,Russia,0.5893
Ibaraki,United States,0.3857
Ibaraki,Canada,0.3345
Ibaraki,Australia,0.051
Ibaraki,Other,0.2768
Tochigi,Total,1.1752
Tochigi,South Korea,0.0663
Tochigi,Taiwan,1.3359
Tochigi,Hong Kong,0.8013
Tochigi,China,0.3101
Tochigi,Thailand,2.7951
Tochigi,Singapore,1.0724
Tochigi,Malaysia,1.7456
Tochigi,Indonesia,1.5314
Tochigi,Philippines,1.0089
Tochigi,Vietnam,0.8639
Tochigi,India,2.658
Tochigi,UK,2.3048
Tochigi,Germany,4.5188
Tochigi,France,5.3085
Tochigi,Italy,8.6972
Tochigi,Spain,7.1797
Tochigi,Russia,0.5893
Tochigi,United States,1.813
Tochigi,Canada,1.6171
Tochigi,Australia,2.7759
Tochigi,Other,3.7475
Gunma,Total,0.4509
Gunma,South Korea,0.0503
Gunma,Taiwan,0.6724
Gunma,Hong Kong,0.6732
Gunma,China,0.1523
Gunma,Thailand,0.7182
Gunma,Singapore,0.2745
Gunma,Malaysia,0.3675
Gunma,Indonesia,0.3407
Gunma,Philippines,0.5603
Gunma,Vietnam,0.3043
Gunma,India,0.5624
Gunma,UK,1.1475
Gunma,Germany,0.8042
Gunma,France,1.4324
Gunma,Italy,0.36
Gunma,Spain,1.6859
Gunma,Russia,0
Gunma,United States,0.633
Gunma,Canada,0.5665
Gunma,Australia,1.0113
Gunma,Other,1.2153
Saitama,Total,0.8346
Saitama,South Korea,0.314
Saitama,Taiwan,1.138
Saitama,Hong Kong,0.857
Saitama,China,0.8824
Saitama,Thailand,1.6014
Saitama,Singapore,1.3995
Saitama,Malaysia,0.7105
Saitama,Indonesia,1.1778
Saitama,Philippines,1.2824
Saitama,Vietnam,1.2588
Saitama,India,0.9935
Saitama,UK,0.5647
Saitama,Germany,1.0126
Saitama,France,0.7196
Saitama,Italy,0.7421
Saitama,Spain,0.3991
Saitama,Russia,2.1797
Saitama,United States,0.7509
Saitama,Canada,1.1182
Saitama,Australia,0.7519
Saitama,Other,1.2708
Chiba,Total,35.5781
Chiba,South Korea,19.8205
Chiba,Taiwan,28.6454
Chiba,Hong Kong,32.5872
Chiba,China,34.1854
Chiba,Thailand,44.9868
Chiba,Singapore,45.595
Chiba,Malaysia,40.5484
Chiba,Indonesia,52.9739
Chiba,Philippines,57.2214
Chiba,Vietnam,67.5547
Chiba,India,76.2158
Chiba,UK,38.4389
Chiba,Germany,46.592
Chiba,France,38.6869
Chiba,Italy,39.0465
Chiba,Spain,55.0671
Chiba,Russia,45.3211
Chiba,United States,53.2679
Chiba,Canada,66.9908
Chiba,Australia,59.6157
Chiba,Other,66.5329
Tokyo,Total,48.3346
Tokyo,South Korea,20.8779
Tokyo,Taiwan,32.3954
Tokyo,Hong Kong,37.0477
Tokyo,China,49.9346
Tokyo,Thailand,49.828
Tokyo,Singapore,62.5925
Tokyo,Malaysia,61.4305
Tokyo,Indonesia,89.2477
Tokyo,Philippines,61.8537
Tokyo,Vietnam,75.7695
Tokyo,India,96.7024
Tokyo,UK,90.4945
Tokyo,Germany,92.4612
Tokyo,France,94.6252
Tokyo,Italy,97.8739
Tokyo,Spain,98.2138
Tokyo,Russia,93.1829
Tokyo,United States,92.2584
Tokyo,Canada,90.8543
Tokyo,Australia,90.8919
Tokyo,Other,93.6001
Kanagawa,Total,8.4933
Kanagawa,South Korea,2.0982
Kanagawa,Taiwan,5.919
Kanagawa,Hong Kong,5.6305
Kanagawa,China,11.0817
Kanagawa,Thailand,6.5227
Kanagawa,Singapore,8.9694
Kanagawa,Malaysia,10.6223
Kanagawa,Indonesia,8.0353
Kanagawa,Philippines,7.3039
Kanagawa,Vietnam,4.4925
Kanagawa,India,16.9711
Kanagawa,UK,18.1728
Kanagawa,Germany,23.1065
Kanagawa,France,25.6896
Kanagawa,Italy,22.4606
Kanagawa,Spain,21.5762
Kanagawa,Russia,19.6032
Kanagawa,United States,16.9513
Kanagawa,Canada,16.925
Kanagawa,Australia,17.1466
Kanagawa,Other,18.3011
Niigata,Total,0.5202
Niigata,South Korea,0.0369
Niigata,Taiwan,1.0163
Niigata,Hong Kong,0.6458
Niigata,China,0.3069
Niigata,Thailand,1.1794
Niigata,Singapore,0.4769
Niigata,Malaysia,0.8946
Niigata,Indonesia,0.7415
Niigata,Philippines,0.8171
Niigata,Vietnam,0.2565
Niigata,India,0
Niigata,UK,0.5859
Niigata,Germany,1.0754
Niigata,France,1.1218
Niigata,Italy,0.3755
Niigata,Spain,0.1522
Niigata,Russia,5.3179
Niigata,United States,0.4125
Niigata,Canada,0.4061
Niigata,Australia,1.3096
Niigata,Other,0.4602
Toyama,Total,1.0544
Toyama,South Korea,0.2088
Toyama,Taiwan,2.7468
Toyama,Hong Kong,1.6691
Toyama,China,0.5813
Toyama,Thailand,0.9497
Toyama,Singapore,1.8314
Toyama,Malaysia,1.324
Toyama,Indonesia,1.6059
Toyama,Philippines,0.6299
Toyama,Vietnam,0.7635
Toyama,India,1.5878
Toyama,UK,0.6242
Toyama,Germany,1.0083
Toyama,France,1.7266
Toyama,Italy,0.2486
Toyama,Spain,0.3991
Toyama,Russia,0
Toyama,United States,0.3145
Toyama,Canada,0.6053
Toyama,Australia,0.8889
Toyama,Other,0.961
Ishikawa,Total,2.368
Ishikawa,South Korea,0.0743
Ishikawa,Taiwan,3.2878
Ishikawa,Hong Kong,1.2533
Ishikawa,China,0.837
Ishikawa,Thailand,0.6836
Ishikawa,Singapore,2.1504
Ishikawa,Malaysia,1.5069
Ishikawa,Indonesia,2.378
Ishikawa,Philippines,0.606
Ishikawa,Vietnam,0.3358
Ishikawa,India,3.6281
Ishikawa,UK,8.46
Ishikawa,Germany,7.514
Ishikawa,France,11.4359
Ishikawa,Italy,26.3124
Ishikawa,Spain,13.5415
Ishikawa,Russia,8.3123
Ishikawa,United States,3.5787
Ishikawa,Canada,4.5876
Ishikawa,Australia,5.7752
Ishikawa,Other,7.9366
Fukui,Total,0.175
Fukui,South Korea,0.0076
Fukui,Taiwan,0.2845
Fukui,Hong Kong,0.4211
Fukui,China,0.0676
Fukui,Thailand,0.0817
Fukui,Singapore,0.3296
Fukui,Malaysia,0.0085
Fukui,Indonesia,0.0888
Fukui,Philippines,0.09
Fukui,Vietnam,0.1609
Fukui,India,0
Fukui,UK,0.1954
Fukui,Germany,1.0661
Fukui,France,1.1774
Fukui,Italy,0.349
Fukui,Spain,0
Fukui,Russia,0
Fukui,United States,0.0812
Fukui,Canada,0.3457
Fukui,Australia,0.287
Fukui,Other,0.3689
Yamanashi,Total,8.5451
Yamanashi,South Korea,0.7377
Yamanashi,Taiwan,6.3976
Yamanashi,Hong Kong,6.1073
Yamanashi,China,12.4888
Yamanashi,Thailand,19.113
Yamanashi,Singapore,14.4543
Yamanashi,Malaysia,24.9193
Yamanashi,Indonesia,16.6525
Yamanashi,Philippines,13.4072
Yamanashi,Vietnam,43.8311
Yamanashi,India,18.8133
Yamanashi,UK,12.8644
Yamanashi,Germany,11.7887
Yamanashi,France,16.5236
Yamanashi,Italy,8.3145
Yamanashi,Spain,10.1669
Yamanashi,Russia,11.5808
Yamanashi,United States,8.6516
Yamanashi,Canada,10.7275
Yamanashi,Australia,15.5376
Yamanashi,Other,13.7283
Nagano,Total,3.0043
Nagano,South Korea,0.2393
Nagano,Taiwan,4.5128
Nagano,Hong Kong,3.4358
Nagano,China,0.9653
Nagano,Thailand,5.4574
Nagano,Singapore,4.5203
Nagano,Malaysia,2.523
Nagano,Indonesia,4.8278
Nagano,Philippines,1.463
Nagano,Vietnam,1.245
Nagano,India,2.7272
Nagano,UK,7.1612
Nagano,Germany,6.8899
Nagano,France,9.1882
Nagano,Italy,4.8799
Nagano,Spain,3.6728
Nagano,Russia,1.404
Nagano,United States,2.9184
Nagano,Canada,3.9759
Nagano,Australia,15.1258
Nagano,Other,6.9897
Gifu,Total,3.4356
Gifu,South Korea,0.817
Gifu,Taiwan,5.2471
Gifu,Hong Kong,4.2112
Gifu,China,1.4906
Gifu,Thailand,5.1146
Gifu,Singapore,4.7103
Gifu,Malaysia,4.0221
Gifu,Indonesia,4.8807
Gifu,Philippines,2.7672
Gifu,Vietnam,2.7016
Gifu,India,5.2415
Gifu,UK,6.531
Gifu,Germany,6.7889
Gifu,France,10.2286
Gifu,Italy,16.4666
Gifu,Spain,21.533
Gifu,Russia,1.0203
Gifu,United States,2.7105
Gifu,Canada,4.1888
Gifu,Australia,6.4419
Gifu,Other,7.1365
Shizuoka,Total,3.3938
Shizuoka,South Korea,0.9221
Shizuoka,Taiwan,2.312
Shizuoka,Hong Kong,3.0527
Shizuoka,China,6.23
Shizuoka,Thailand,3.8904
Shizuoka,Singapore,4.2515
Shizuoka,Malaysia,5.9349
Shizuoka,Indonesia,7.1931
Shizuoka,Philippines,5.8201
Shizuoka,Vietnam,10.2033
Shizuoka,India,4.7598
Shizuoka,UK,5.1869
Shizuoka,Germany,5.7527
Shizuoka,France,4.5743
Shizuoka,Italy,3.3445
Shizuoka,Spain,1.2177
Shizuoka,Russia,2.9017
Shizuoka,United States,2.8166
Shizuoka,Canada,4.7848
Shizuoka,Australia,6.2567
Shizuoka,Other,4.3547
Aichi,Total,6.3253
Aichi,South Korea,2.5674
Aichi,Taiwan,7.7892
Aichi,Hong Kong,8.1175
Aichi,China,10.2664
Aichi,Thailand,6.3081
Aichi,Singapore,8.2952
Aichi,Malaysia,4.9279
Aichi,Indonesia,4.2598
Aichi,Philippines,7.2955
Aichi,Vietnam,14.7539
Aichi,India,3.1105
Aichi,UK,2.5544
Aichi,Germany,7.2609
Aichi,France,8.8094
Aichi,Italy,6.7137
Aichi,Spain,3.9605
Aichi,Russia,0.6606
Aichi,United States,3.8803
Aichi,Canada,5.063
Aichi,Australia,5.9206
Aichi,Other,6.6617
Mie,Total,0.6869
Mie,South Korea,0.1492
Mie,Taiwan,1.3414
Mie,Hong Kong,1.692
Mie,China,0.3919
Mie,Thailand,0.65
Mie,Singapore,0.9927
Mie,Malaysia,1.289
Mie,Indonesia,0.2021
Mie,Philippines,1.6057
Mie,Vietnam,0.3293
Mie,India,0.032
Mie,UK,0.2196
Mie,Germany,0.5534
Mie,France,1.7972
Mie,Italy,0.4298
Mie,Spain,0.1522
Mie,Russia,0.2056
Mie,United States,0.4416
Mie,Canada,0.444
Mie,Australia,0.7954
Mie,Other,0.3344
Shiga,Total,0.5065
Shiga,South Korea,0.089
Shiga,Taiwan,0.9445
Shiga,Hong Kong,0.914
Shiga,China,0.7364
Shiga,Thailand,0.1205
Shiga,Singapore,0.2945
Shiga,Malaysia,0.3264
Shiga,Indonesia,0.0948
Shiga,Philippines,0.3078
Shiga,Vietnam,0
Shiga,India,0
Shiga,UK,0.7689
Shiga,Germany,0.9831
Shiga,France,0.7602
Shiga,Italy,1.0333
Shiga,Spain,0.7297
Shiga,Russia,0
Shiga,United States,0.3664
Shiga,Canada,0.5532
Shiga,Australia,0.3291
Shiga,Other,0.3223
Kyoto,Total,32.5557
Kyoto,South Korea,17.6289
Kyoto,Taiwan,19.5179
Kyoto,Hong Kong,19.6705
Kyoto,China,43.2494
Kyoto,Thailand,20.7689
Kyoto,Singapore,32.5953
Kyoto,Malaysia,37.4588
Kyoto,Indonesia,40.1871
Kyoto,Philippines,29.4329
Kyoto,Vietnam,45.4969
Kyoto,India,60.6687
Kyoto,UK,62.8008
Kyoto,Germany,69.3619
Kyoto,France,71.2685
Kyoto,Italy,82.6499
Kyoto,Spain,85.7179
Kyoto,Russia,61.7538
Kyoto,United States,52.0704
Kyoto,Canada,55.1776
Kyoto,Australia,56.4428
Kyoto,Other,64.7909
Osaka,Total,43.0399
Osaka,South Korea,32.6761
Osaka,Taiwan,27.4362
Osaka,Hong Kong,31.7713
Osaka,China,61.3577
Osaka,Thailand,33.8709
Osaka,Singapore,43.5013
Osaka,Malaysia,50.8012
Osaka,Indonesia,53.612
Osaka,Philippines,45.1194
Osaka,Vietnam,61.9552
Osaka,India,55.3565
Osaka,UK,59.429
Osaka,Germany,64.7606
Osaka,France,65.7105
Osaka,Italy,69.449
Osaka,Spain,84.2949
Osaka,Russia,67.5667
Osaka,United States,47.4597
Osaka,Canada,57.8581
Osaka,Australia,61.8884
Osaka,Other,65.232
Hyogo,Total,5.549
Hyogo,South Korea,3.4252
Hyogo,Taiwan,4.5581
Hyogo,Hong Kong,5.7639
Hyogo,China,8.2943
Hyogo,Thailand,3.8962
Hyogo,Singapore,5.4176
Hyogo,Malaysia,5.417
Hyogo,Indonesia,4.0516
Hyogo,Philippines,5.4076
Hyogo,Vietnam,4.8591
Hyogo,India,2.9895
Hyogo,UK,7.9912
Hyogo,Germany,11.8282
Hyogo,France,11.563
Hyogo,Italy,10.8478
Hyogo,Spain,8.2779
Hyogo,Russia,10.0901
Hyogo,United States,4.8716
Hyogo,Canada,7.98
Hyogo,Australia,6.7423
Hyogo,Other,7.9717
Nara,Total,9.8068
Nara,South Korea,2.939
Nara,Taiwan,4.6584
Nara,Hong Kong,4.6871
Nara,China,16.4967
Nara,Thailand,3.744
Nara,Singapore,8.959
Nara,Malaysia,13.6956
Nara,Indonesia,7.8765
Nara,Philippines,12.6243
Nara,Vietnam,6.6938
Nara,India,20.688
Nara,UK,19.289
Nara,Germany,25.8666
Nara,France,30.6547
Nara,Italy,39.6401
Nara,Spain,41.4581
Nara,Russia,27.0515
Nara,United States,13.7671
Nara,Canada,17.6596
Nara,Australia,14.7843
Nara,Other,25.6915
Wakayama,Total,1.3039
Wakayama,South Korea,0.1499
Wakayama,Taiwan,0.8264
Wakayama,Hong Kong,2.307
Wakayama,China,1.8563
Wakayama,Thailand,0.4603
Wakayama,Singapore,1.1254
Wakayama,Malaysia,1.0777
Wakayama,Indonesia,0.0955
Wakayama,Philippines,0.1851
Wakayama,Vietnam,0.3219
Wakayama,India,0.8525
Wakayama,UK,4.9713
Wakayama,Germany,3.8421
Wakayama,France,5.5075
Wakayama,Italy,5.3092
Wakayama,Spain,4.132
Wakayama,Russia,0
Wakayama,United States,1.1126
Wakayama,Canada,2.1417
Wakayama,Australia,2.6332
Wakayama,Other,3.6401
Tottori,Total,0.2866
Tottori,South Korea,0.2734
Tottori,Taiwan,0.386
Tottori,Hong Kong,0.6959
Tottori,China,0.2013
Tottori,Thailand,0.0916
Tottori,Singapore,0.1939
Tottori,Malaysia,0.0409
Tottori,Indonesia,0.055
Tottori,Philippines,0
Tottori,Vietnam,0
Tottori,India,0
Tottori,UK,0.1322
Tottori,Germany,0.226
Tottori,France,0.4996
Tottori,Italy,0.349
Tottori,Spain,0
Tottori,Russia,0
Tottori,United States,0.1483
Tottori,Canada,0.4254
Tottori,Australia,0.2878
Tottori,Other,0.2488
Shimane,Total,0.1421
Shimane,South Korea,0.0877
Shimane,Taiwan,0.2835
Shimane,Hong Kong,0.2472
Shimane,China,0.0577
Shimane,Thailand,0.0784
Shimane,Singapore,0
Shimane,Malaysia,0.0507
Shimane,Indonesia,0
Shimane,Philippines,0
Shimane,Vietnam,0
Shimane,India,0
Shimane,UK,0.1289
Shimane,Germany,0.3676
Shimane,France,0.4312
Shimane,Italy,0
Shimane,Spain,0
Shimane,Russia,0.2056
Shimane,United States,0.1253
Shimane,Canada,0.1561
Shimane,Australia,0.3996
Shimane,Other,0.0887
Okayama,Total,0.9781
Okayama,South Korea,0.3817
Okayama,Taiwan,1.8872
Okayama,Hong Kong,1.0104
Okayama,China,0.4469
Okayama,Thailand,0.4826
Okayama,Singapore,1.004
Okayama,Malaysia,0.2217
Okayama,Indonesia,0.6278
Okayama,Philippines,0.0723
Okayama,Vietnam,0.3219
Okayama,India,0.6896
Okayama,UK,2.3862
Okayama,Germany,2.8696
Okayama,France,3.2546
Okayama,Italy,0.6795
Okayama,Spain,2.2466
Okayama,Russia,3.5109
Okayama,United States,0.7076
Okayama,Canada,0.7173
Okayama,Australia,2.1686
Okayama,Other,2.1474
Hiroshima,Total,3.9738
Hiroshima,South Korea,0.7354
Hiroshima,Taiwan,1.3815
Hiroshima,Hong Kong,0.9607
Hiroshima,China,0.4628
Hiroshima,Thailand,0.8922
Hiroshima,Singapore,1.9905
Hiroshima,Malaysia,0.526
Hiroshima,Indonesia,0.7646
Hiroshima,Philippines,2.0168
Hiroshima,Vietnam,0.169
Hiroshima,India,19.0016
Hiroshima,UK,25.2085
Hiroshima,Germany,21.1061
Hiroshima,France,21.9115
Hiroshima,Italy,24.8037
Hiroshima,Spain,21.0137
Hiroshima,Russia,1.9442
Hiroshima,United States,9.0866
Hiroshima,Canada,12.3282
Hiroshima,Australia,18.9753
Hiroshima,Other,19.9569
Yamaguchi,Total,0.5356
Yamaguchi,South Korea,1.2914
Yamaguchi,Taiwan,0.4599
Yamaguchi,Hong Kong,0.4595
Yamaguchi,China,0.0393
Yamaguchi,Thailand,0.1462
Yamaguchi,Singapore,0.3494
Yamaguchi,Malaysia,0
Yamaguchi,Indonesia,0.0955
Yamaguchi,Philippines,0.1028
Yamaguchi,Vietnam,0.1749
Yamaguchi,India,0
Yamaguchi,UK,0.2474
Yamaguchi,Germany,0.5166
Yamaguchi,France,0.5624
Yamaguchi,Italy,0
Yamaguchi,Spain,0.2749
Yamaguchi,Russia,0
Yamaguchi,United States,0.2493
Yamaguchi,Canada,0.4003
Yamaguchi,Australia,0.358
Yamaguchi,Other,0.2878
Tokushima,Total,0.2654
Tokushima,South Korea,0.0456
Tokushima,Taiwan,0.5449
Tokushima,Hong Kong,0.8532
Tokushima,China,0.068
Tokushima,Thailand,0.1514
Tokushima,Singapore,0.1733
Tokushima,Malaysia,0.1272
Tokushima,Indonesia,0.241
Tokushima,Philippines,0.0368
Tokushima,Vietnam,0
Tokushima,India,0.2776
Tokushima,UK,0.5129
Tokushima,Germany,0.8741
Tokushima,France,0.731
Tokushima,Italy,0.1269
Tokushima,Spain,0
Tokushima,Russia,0.2056
Tokushima,United States,0.1688
Tokushima,Canada,0.2039
Tokushima,Australia,0.2066
Tokushima,Other,0.3399
Kagawa,Total,1.0277
Kagawa,South Korea,0.9342
Kagawa,Taiwan,1.5662
Kagawa,Hong Kong,1.5038
Kagawa,China,0.6949
Kagawa,Thailand,0.2186
Kagawa,Singapore,0.2511
Kagawa,Malaysia,0.1878
Kagawa,Indonesia,0.0955
Kagawa,Philippines,0.1014
Kagawa,Vietnam,0
Kagawa,India,0
Kagawa,UK,1.6613
Kagawa,Germany,2.0181
Kagawa,France,2.5757
Kagawa,Italy,0.7281
Kagawa,Spain,0.7564
Kagawa,Russia,0
Kagawa,United States,0.3997
Kagawa,Canada,0.9767
Kagawa,Australia,1.8055
Kagawa,Other,1.8008
Ehime,Total,0.4144
Ehime,South Korea,0.0716
Ehime,Taiwan,0.9263
Ehime,Hong Kong,0.6402
Ehime,China,0.1009
Ehime,Thailand,0.0956
Ehime,Singapore,0.3435
Ehime,Malaysia,0.1356
Ehime,Indonesia,0
Ehime,Philippines,0.1856
Ehime,Vietnam,0.2021
Ehime,India,0
Ehime,UK,0.7222
Ehime,Germany,1.0892
Ehime,France,1.55
Ehime,Italy,0.4877
Ehime,Spain,0.8678
Ehime,Russia,0.2056
Ehime,United States,0.3749
Ehime,Canada,0.4667
Ehime,Australia,0.568
Ehime,Other,1.092
Kochi,Total,0.2371
Kochi,South Korea,0.0236
Kochi,Taiwan,0.5626
Kochi,Hong Kong,0.3985
Kochi,China,0.0085
Kochi,Thailand,0.1253
Kochi,Singapore,0.0818
Kochi,Malaysia,0.0085
Kochi,Indonesia,0
Kochi,Philippines,0.0659
Kochi,Vietnam,0
Kochi,India,0
Kochi,UK,0.5901
Kochi,Germany,0.4904
Kochi,France,0.9193
Kochi,Italy,0
Kochi,Spain,0
Kochi,Russia,0
Kochi,United States,0.3865
Kochi,Canada,0.7091
Kochi,Australia,0.5206
Kochi,Other,0.3542
Fukuoka,Total,11.8966
Fukuoka,South Korea,27.3582
Fukuoka,Taiwan,9.3369
Fukuoka,Hong Kong,14.6006
Fukuoka,China,3.6186
Fukuoka,Thailand,9.7779
Fukuoka,Singapore,6.0283
Fukuoka,Malaysia,2.4702
Fukuoka,Indonesia,0.6726
Fukuoka,Philippines,5.0189
Fukuoka,Vietnam,1.3244
Fukuoka,India,1.7427
Fukuoka,UK,6.3671
Fukuoka,Germany,5.6991
Fukuoka,France,4.7109
Fukuoka,Italy,2.2856
Fukuoka,Spain,2.0196
Fukuoka,Russia,0.087
Fukuoka,United States,2.8281
Fukuoka,Canada,4.467
Fukuoka,Australia,3.9162
Fukuoka,Other,4.7642
Saga,Total,0.6308
Saga,South Korea,0.9991
Saga,Taiwan,0.9766
Saga,Hong Kong,1.1064
Saga,China,0.3498
Saga,Thailand,0.5082
Saga,Singapore,0.3086
Saga,Malaysia,0.1214
Saga,Indonesia,0
Saga,Philippines,0.3075
Saga,Vietnam,0
Saga,India,0.3653
Saga,UK,0.276
Saga,Germany,0.2562
Saga,France,0.1623
Saga,Italy,0.1152
Saga,Spain,0
Saga,Russia,0
Saga,United States,0.0525
Saga,Canada,0.0769
Saga,Australia,0.0565
Saga,Other,0.0413
Nagasaki,Total,1.0152
Nagasaki,South Korea,0.9074
Nagasaki,Taiwan,1.3493
Nagasaki,Hong Kong,1.3126
Nagasaki,China,0.237
Nagasaki,Thailand,1.3611
Nagasaki,Singapore,1.8534
Nagasaki,Malaysia,0.3982
Nagasaki,Indonesia,0.1505
Nagasaki,Philippines,1.312
Nagasaki,Vietnam,0
Nagasaki,India,0.6047
Nagasaki,UK,3.4643
Nagasaki,Germany,2.1414
Nagasaki,France,1.6178
Nagasaki,Italy,1.0351
Nagasaki,Spain,0.7319
Nagasaki,Russia,0
Nagasaki,United States,0.8338
Nagasaki,Canada,1.1907
Nagasaki,Australia,1.3749
Nagasaki,Other,1.6795
Kumamoto,Total,2.3381
Kumamoto,South Korea,2.2746
Kumamoto,Taiwan,3.8867
Kumamoto,Hong Kong,4.8225
Kumamoto,China,1.2142
Kumamoto,Thailand,3.8957
Kumamoto,Singapore,2.4122
Kumamoto,Malaysia,1.245
Kumamoto,Indonesia,0.1638
Kumamoto,Philippines,0.6855
Kumamoto,Vietnam,0.991
Kumamoto,India,0.5624
Kumamoto,UK,2.5163
Kumamoto,Germany,1.8521
Kumamoto,France,2.7205
Kumamoto,Italy,1.4855
Kumamoto,Spain,1.027
Kumamoto,Russia,0
Kumamoto,United States,0.4059
Kumamoto,Canada,1.7788
Kumamoto,Australia,1.1331
Kumamoto,Other,1.1798
Oita,Total,4.3939
Oita,South Korea,10.392
Oita,Taiwan,3.698
Oita,Hong Kong,5.6416
Oita,China,0.8467
Oita,Thailand,4.925
Oita,Singapore,3.4835
Oita,Malaysia,1.1434
Oita,Indonesia,0.1168
Oita,Philippines,1.0846
Oita,Vietnam,0.991
