Area of Visit,Travel Arrangement,Percentage
Kagawa,Package for individual travelers,4.8244
Kagawa,Independent travel,82.2494
Ehime,Group tour,21.971
Ehime,Package for individual travelers,1.8226
Ehime,Independent travel,76.2064
Kochi,Group tour,27.8061
Kochi,Package for individual travelers,4.9907
Kochi,Independent travel,67.2032
Fukuoka,Group tour,8.5616
Fukuoka,Package for individual travelers,2.7197
Fukuoka,Independent travel,88.7187
Saga,Group tour,23.0106
Saga,Package for individual travelers,5.1084
Saga,Independent travel,71.881
Nagasaki,Group tour,15.224
Nagasaki,Package for individual travelers,3.1859
Nagasaki,Independent travel,81.5901
Kumamoto,Group tour,24.0331
Kumamoto,Package for individual travelers,3.9662
Kumamoto,Independent travel,72.0008
Oita,Group tour,16.1304
Oita,Package for individual travelers,4.0356
Oita,Independent travel,79.834
Miyazaki,Group tour,18.5514
Miyazaki,Package for individual travelers,4.8027
Miyazaki,Independent travel,76.6459
Kagoshima,Group tour,14.5554
Kagoshima,Package for individual travelers,9.511
Kagoshima,Independent travel,75.9336
Okinawa,Group tour,14.2268
Okinawa,Package for individual travelers,5.9242
Okinawa,Independent travel,79.849
Hokkaido Region,Group tour,26.9795
Hokkaido Region,Package for individual travelers,4.7123
Hokkaido Region,Independent travel,68.3082
Tohoku Region,Group tour,25.7222
Tohoku Region,Package for individual travelers,3.662
Tohoku Region,Independent travel,70.6158
Kanto Region,Group tour,10.5824
Kanto Region,Package for individual travelers,3.536
Kanto Region,Independent travel,85.8816
Hokuriku-Shin'etsu Region,Group tour,24.1863
Hokuriku-Shin'etsu Region,Package for individual travelers,4.218
Hokuriku-Shin'etsu Region,Independent travel,71.5957
Chubu Region,Group tour,29.3738
Chubu Region,Package for individual travelers,3.6977
Chubu Region,Independent travel,66.9285
Kinki Region,Group tour,11.8576
Kinki Region,Package for individual travelers,3.0405
Kinki Region,Independent travel,85.1019
Chugoku Region,Group tour,11.1052
Chugoku Region,Package for individual travelers,4.3963
Chugoku Region,Independent travel,84.4985
Shikoku Region,Group tour,14.7388
Shikoku Region,Package for individual travelers,5.1909
Shikoku Region,Independent travel,80.0703
Kyushu Region,Group tour,9.034
Kyushu Region,Package for individual travelers,3.1662
Kyushu Region,Independent travel,87.7998
Okinawa Region,Group tour,14.2268
Okinawa Region,Package for individual travelers,5.9242
Okinawa Region,Independent travel,79.849
